type,x,y
path,0.08,0.06
path,0.16,0.12
path,0.24,0.18
path,0.32,0.24
path,0.4,0.3
path,0.48,0.36
path,0.56,0.42
path,0.64,0.48
path,0.72,0.54
path,0.8,0.6
path,0.88,0.66
path,0.96,0.72
path,1.04,0.78
path,1.12,0.84
path,1.2,0.9
path,1.28,0.96
path,1.36,1.02
path,1.44,1.08
path,1.52,1.14
path,1.6,1.2
path,1.68,1.26
path,1.76,1.32
path,1.84,1.38
path,1.92,1.44
path,2,1.5
path,2.08,1.56
path,2.16,1.62
path,2.24,1.68
path,2.32,1.74
path,2.4,1.8
path,2.48,1.86
path,2.56,1.92
path,2.64,1.98
path,2.72,2.04
path,2.8,2.1
path,2.88,2.16
path,2.96,2.22
path,3.04,2.28
path,3.12,2.34
path,3.2,2.4
path,3.28,2.46
path,3.36,2.52
path,3.4088,2.53282
path,3.45722,2.54425
path,3.50531,2.55429
path,3.55313,2.56295
drone,3.55313,2.56295
target,10,7.5
obstacle,5,5
