type,x,y
path,0.0707107,0.0707107
path,0.141421,0.141421
path,0.212132,0.212132
path,0.282843,0.282843
path,0.353553,0.353553
path,0.424264,0.424264
path,0.494975,0.494975
path,0.565685,0.565685
path,0.636396,0.636396
path,0.707107,0.707107
path,0.777817,0.777817
path,0.848528,0.848528
path,0.919239,0.919239
path,0.989949,0.989949
path,1.06066,1.06066
path,1.13137,1.13137
path,1.20208,1.20208
path,1.27279,1.27279
path,1.3435,1.3435
path,1.41421,1.41421
path,1.48492,1.48492
path,1.55563,1.55563
path,1.62635,1.62635
path,1.69706,1.69706
path,1.76777,1.76777
path,1.83848,1.83848
path,1.90919,1.90919
path,1.9799,1.9799
path,2.05061,2.05061
path,2.12132,2.12132
path,2.19203,2.19203
path,2.26274,2.26274
path,2.33345,2.33345
path,2.40416,2.40416
path,2.47487,2.47487
path,2.54558,2.54558
path,2.6163,2.6163
path,2.68701,2.68701
path,2.75772,2.75772
path,2.82843,2.82843
path,2.89914,2.89914
path,2.9298,2.9298
path,2.95926,2.95926
path,2.98752,2.98752
path,3.01459,3.01459
path,3.04045,3.04045
path,3.06512,3.06512
path,3.08861,3.08861
path,3.11094,3.11094
path,3.13211,3.13211
path,3.15216,3.15216
path,3.17109,3.17109
path,3.18896,3.18896
path,3.20577,3.20577
path,3.22157,3.22157
path,3.23639,3.23639
path,3.25026,3.25026
path,3.26323,3.26323
path,3.27534,3.27534
path,3.28662,3.28662
path,3.29711,3.29711
path,3.30686,3.30686
path,3.31591,3.31591
path,3.32429,3.32429
path,3.33204,3.33204
path,3.33921,3.33921
path,3.34583,3.34583
path,3.35194,3.35194
path,3.35756,3.35756
path,3.36274,3.36274
path,3.36751,3.36751
path,3.37189,3.37189
path,3.37591,3.37591
path,3.3796,3.3796
path,3.38298,3.38298
path,3.38609,3.38609
path,3.38893,3.38893
path,3.39153,3.39153
path,3.39391,3.39391
path,3.39609,3.39609
path,3.39809,3.39809
path,3.39991,3.39991
path,3.40157,3.40157
path,3.4031,3.4031
path,3.40449,3.40449
path,3.40575,3.40575
path,3.40691,3.40691
path,3.40797,3.40797
path,3.40893,3.40893
path,3.40981,3.40981
path,3.41061,3.41061
path,3.41135,3.41135
path,3.41201,3.41201
path,3.41262,3.41262
path,3.41318,3.41318
path,3.41368,3.41368
path,3.41414,3.41414
path,3.41456,3.41456
path,3.41495,3.41495
path,3.4153,3.4153
path,3.41561,3.41561
path,3.4159,3.4159
path,3.41617,3.41617
path,3.41641,3.41641
path,3.41663,3.41663
path,3.41683,3.41683
path,3.41701,3.41701
path,3.41717,3.41717
path,3.41732,3.41732
path,3.41746,3.41746
path,3.41759,3.41759
path,3.4177,3.4177
path,3.4178,3.4178
path,3.4179,3.4179
path,3.41798,3.41798
path,3.41806,3.41806
path,3.41813,3.41813
path,3.4182,3.4182
path,3.41826,3.41826
path,3.41831,3.41831
path,3.41836,3.41836
path,3.41841,3.41841
path,3.41845,3.41845
path,3.41848,3.41848
path,3.41852,3.41852
path,3.41855,3.41855
path,3.41858,3.41858
path,3.4186,3.4186
path,3.41862,3.41862
path,3.41865,3.41865
path,3.41867,3.41867
path,3.41868,3.41868
path,3.4187,3.4187
path,3.41871,3.41871
path,3.41873,3.41873
path,3.41874,3.41874
path,3.41875,3.41875
path,3.41876,3.41876
path,3.41877,3.41877
path,3.41878,3.41878
path,3.41878,3.41878
path,3.41879,3.41879
path,3.4188,3.4188
path,3.4188,3.4188
path,3.41881,3.41881
path,3.41881,3.41881
path,3.41882,3.41882
path,3.41882,3.41882
path,3.41882,3.41882
path,3.41883,3.41883
path,3.41883,3.41883
path,3.41883,3.41883
path,3.41884,3.41884
path,3.41884,3.41884
path,3.41884,3.41884
path,3.41884,3.41884
path,3.41884,3.41884
path,3.41885,3.41885
path,3.41885,3.41885
path,3.41885,3.41885
path,3.41885,3.41885
path,3.41885,3.41885
path,3.41885,3.41885
path,3.41885,3.41885
path,3.41885,3.41885
path,3.41885,3.41885
path,3.41885,3.41885
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
path,3.41886,3.41886
drone,3.41886,3.41886
target,10,10
obstacle,5,5
